书名,作者,出版社,价格,纸质版售价,豆瓣评分,评论数量
轻狂,巫哲 , 印刷工业出版社 , 49.80元, 25.90元,7.5,(1015人评价)
你丫上瘾了,柴鸡蛋 , 自行出版 , 25.00元,***,6.9,(4651人评价)
秒速五厘米,[日] 新海诚  季丽晔 , 上海译文出版社 , 28.00元, 22.10元,8.3,(5614人评价)
酸梅,黄三 , 江苏凤凰文艺出版社 , 42.80元, 29.40元,7.7,(122人评价)
吞噬时间的恋人,王宇昆 , 天津人民出版社 , 42.00元,***,9.1,(23人评价)
白日事故,高台樹色  留守番 ,***, NTD 780元,***,8.8,(1380人评价)
一座城池,韩寒 , 二十一世纪出版社 , 19.90元, 17.10元,7.4,(59620人评价)
伊豆的舞女,[日] 川端康成  叶渭渠、唐月梅 , 南海出版公司 , 35.00元, 26.30元,7.9,(5566人评价)
少年维特的烦恼,[德] 歌德  杨武能 , 人民文学出版社 , 7.40元, 1.00元起,7.8,(27295人评价)
突然好想大哭一场,黄伟康 , 后浪丨中国友谊出版公司 , 45.00元,***,6.2,(116人评价)
他的国,韩寒 , 万卷出版公司 , 25.00元, 19.70元,7.5,(56008人评价)
万物生长,冯唐 , 云南美术出版社 , 23.00元, 11.70元,7.6,(19446人评价)
忍冬,Twentine , 青岛出版社 , 38.00元, 38.00元,7.4,(6232人评价)
我与世界只差一个你,张皓宸 , 天津人民出版社 , CNY 36.00元,***,5.8,(8230人评价)
何以笙箫默,顾漫 , 沈阳出版社 , 25.00元, 14.40元,7.7,(19824人评价)
沙漠,[日] 伊坂幸太郎  穆迪 , 新星出版社 , 58.00元,***,8.1,(535人评价)
潮骚,（日）三岛由纪夫  唐月梅 , 上海译文出版社 , 15.00元, 38.70元起,8.2,(10977人评价)
十八岁给我一个姑娘,冯唐 , 万卷出版公司 , 20.00元, 15.00元,7.3,(12010人评价)
幻城,郭敬明 , 长江文艺出版社 , 23.00元, 20.20元,7.3,(22982人评价)
我承认我不曾历经沧桑,蒋方舟 , 广西师范大学出版社 , 32.00元, 24.00元,7.1,(11525人评价)
致我们暖暖的小时光,赵乾乾 , 江苏凤凰文艺出版社 , 29.80元,***,5.9,(2280人评价)
八月未央,安妮宝贝 , 作家出版社 , 16.00元, 15.40元,7.5,(51641人评价)
我亦飘零久,独木舟 , 春风文艺出版社 , 26.80元, 18.40元,7.9,(3944人评价)
世界微尘里,木浮生 , 百花洲文艺出版社 , 29.80元, 19.90元,7.8,(5231人评价)
陪安东尼度过漫长岁月,安东尼 , 长江文艺出版社 , 18.00元, 18.00元,8.3,(64626人评价)
像少年啦飞驰,韩寒 , 作家出版社 , 16.00元, 4.20元起,7.3,(40420人评价)
西决,笛安 , 长江文艺出版社 , 22.80元, 22.80元,7.9,(56449人评价)
血色浪漫,都梁 , 人民文学出版社 , 40.00元, 31.00元,8.9,(3298人评价)
狼的诱惑,可爱淘  黄黉 , 世界知识出版社 , 20.0元, 19.80元,6.8,(14948人评价)
