书名,作者,出版社,售价,纸质版售价,豆瓣评分,评论数量
伊豆的舞女,[日] 川端康成  叶渭渠、唐月梅 , 南海出版公司 , 35.00元,26.30元,7.9,5660人
何以笙箫默,顾漫 , 沈阳出版社 , 25.00元,14.40元,7.7,19879人
世界微尘里,木浮生 , 百花洲文艺出版社 , 29.80元,19.90元,7.8,5260人
泡沫之夏,明晓溪 , 新世界出版社 , 20.00元,13.80元,6.8,47790人
吞噬时间的恋人,王宇昆 , 天津人民出版社 , 42.00元,***,9.1,24人
幻城,郭敬明 , 长江文艺出版社 , 23.00元,11.30元,7.3,23035人
西决,笛安 , 长江文艺出版社 , 22.80元,22.80元,7.9,56531人
岁月忽已暮,绿亦歌 , 湖南少年儿童出版社 , 25.00元,24.70元,7.3,1630人
八月未央,安妮宝贝 , 作家出版社 , 16.00元,12.00元,7.5,51663人
我亦飘零久,独木舟 , 春风文艺出版社 , 26.80元,18.40元,7.9,3974人
少年巴比伦,路内 , 重庆出版社 , 22.00元,16.00元,8.6,8806人
潮骚,（日）三岛由纪夫  唐月梅 , 上海译文出版社 , 15.00元,38.70元起,8.2,11036人
突然好想大哭一场,黄伟康 , 后浪丨中国友谊出版公司 , 45.00元,***,5.9,131人
长安乱,韩寒 , 中国青年出版社 , 20.00元,20.90元,7.4,82579人
十八岁出门远行,余华 , 作家出版社 , 3.90元,400.00元起,8.5,4547人
疯犬少年的天空,里则林 ,***, 36.8元,26.20元,6.2,248人
狼的诱惑,可爱淘  黄黉 , 世界知识出版社 , 20.0元,20.00元,6.8,14977人
他的国,韩寒 , 万卷出版公司 , 25.00元,19.70元,7.5,56072人
少年维特的烦恼,[德] 歌德  杨武能 , 人民文学出版社 , 7.40元,1.00元起,7.8,27318人
我的鸵鸟先生,含胭 , 江苏凤凰文艺出版社 , 59.80元,41.20元,8.3,2649人
